"","filename","TCGA_id"
"1","a8e5861f-e86c-473d-8ff7-5630532b3c61.htseq.counts.gz","TCGA-C8-A3M8-01A-11R-A213-07"
"2","2afc73e0-d4e7-4b35-8c1c-8bfc1237ee0a.htseq.counts.gz","TCGA-A7-A3J1-01A-11R-A213-07"
"3","c4489317-3e8a-4159-b32b-4cfde723359a.htseq.counts.gz","TCGA-BH-A8FY-01A-11R-A36F-07"
"4","5943b9f4-fd43-46dc-8ebe-a0145e4ee7c3.htseq.counts.gz","TCGA-BH-A8FZ-01A-11R-A352-07"
"5","3c8923de-0d68-4137-a5d9-657a77cac893.htseq.counts.gz","TCGA-A2-A0EP-01A-52R-A22U-07"
"6","0786b089-8ed6-452e-b160-145e495f6862.htseq.counts.gz","TCGA-OL-A66J-01A-11R-A29R-07"
"7","a8c7988b-3063-45b8-8ecd-5f8f91e9954d.htseq.counts.gz","TCGA-EW-A1J3-01A-11R-A13Q-07"
"8","ffd7b10e-8c0c-4aeb-81a0-b060108d57fa.htseq.counts.gz","TCGA-E2-A14U-01A-11R-A22K-07"
"9","86a3c9bd-5095-4ef2-a676-7c29d9f4db4b.htseq.counts.gz","TCGA-B6-A40B-01A-11R-A239-07"
"10","7487d66f-3ca5-4df9-ac9e-88f0af7838c3.htseq.counts.gz","TCGA-GM-A2DO-01A-11R-A18M-07"
"11","258d40ba-4e39-4789-b997-cc4e828dda85.htseq.counts.gz","TCGA-LL-A440-01A-11R-A24H-07"
"12","c595d44f-7e4f-4ade-9c9a-87b44ccac393.htseq.counts.gz","TCGA-E2-A576-01A-11R-A31O-07"
"13","168e9550-9975-4230-847a-71d868d46fb6.htseq.counts.gz","TCGA-E2-A1IH-01A-11R-A13Q-07"
"14","fd9be810-7e9e-4697-99b1-70a5c5901e07.htseq.counts.gz","TCGA-B6-A0IP-01A-11R-A034-07"
"15","e53f1c7e-2846-491a-9517-7215f4af2f74.htseq.counts.gz","TCGA-D8-A4Z1-01A-21R-A266-07"
"16","29c4a2e1-2e48-4f4a-9ad6-9b0a7c04b8e9.htseq.counts.gz","TCGA-AR-A2LE-01A-11R-A180-07"
"17","ee6beadb-79ab-4f2f-87cc-bba566e6bc24.htseq.counts.gz","TCGA-WT-AB44-01A-11R-A41B-07"
"18","3846d74d-423d-43c2-a33d-168456d67478.htseq.counts.gz","TCGA-AR-A1AK-01A-21R-A12P-07"
"19","eeff4d01-f161-423f-9d6d-d2d31cc69047.htseq.counts.gz","TCGA-AC-A3QQ-01B-06R-A22O-07"
"20","ae53b898-c61d-4137-824a-104a4202299c.htseq.counts.gz","TCGA-E2-A1IJ-01A-11R-A144-07"
